2.029742	-55.137490
1.963612	-57.453180
10.094003	-57.002670
19.292794	-54.512320
30.951076	-48.192340
37.600668	-43.486470
42.101931	-39.189810
52.536673	-48.396940
42.204231	-57.604060
33.099406	-62.923730
23.380773	-67.015790
16.526579	-69.061820
16.935786	-71.210150
30.337269	-66.299680
40.567407	-60.980000
49.160725	-54.535020
55.912618	-47.783130
63.586382	-37.112630
68.071341	-28.576750
71.398888	-20.113200
73.062663	-11.649650
70.820186	-11.504980
69.228749	-20.185540
65.105481	-30.240520
60.765199	-38.487060
57.365313	-42.972020
53.965427	-46.950600
43.476414	-37.546660
47.744358	-31.253250
52.156977	-23.368410
54.688806	-16.713320
52.518668	-16.423960
49.552807	-24.164130
45.357203	-31.397930
41.016921	-37.257310
35.656943	-42.412300
29.621160	-46.862410
22.818116	-50.340660
15.912771	-53.307400
7.370605	-55.046530
